Height (mm);Total slice surface (mmý)
0.060;0.000
0.180;0.000
0.300;0.000
0.420;0.000
0.540;0.000
0.660;0.000
0.780;0.000
0.900;0.000
1.020;0.000
1.140;0.000
1.260;0.000
1.380;0.000
1.500;0.000
1.620;0.000
1.740;0.000
1.860;0.000
1.980;0.000
2.100;0.000
2.220;0.000
2.340;0.000
2.460;0.000
2.580;0.000
2.700;0.000
2.820;0.000
2.940;0.000
3.060;0.000
3.180;0.000
3.300;0.000
3.420;0.000
3.540;0.000
3.660;0.000
3.780;0.000
3.900;0.000
4.020;0.000
4.140;0.000
4.260;0.000
4.380;0.000
4.500;0.000
4.620;0.000
4.740;0.000
4.860;0.000
4.980;0.000
5.100;0.000
5.220;0.000
5.340;0.000
5.460;0.000
5.580;0.000
5.700;0.000
5.820;0.000
5.940;0.000
6.060;0.000
6.180;0.000
6.300;0.000
6.420;0.000
6.540;0.000
6.660;0.000
6.780;0.000
6.900;0.000
7.020;0.000
7.140;0.000
7.260;0.000
7.380;0.000
7.500;0.000
7.620;0.000
7.740;0.000
7.860;0.000
7.980;0.000
8.100;0.000
8.220;0.000
8.340;0.000
8.460;0.000
8.580;0.000
8.700;0.000
8.820;0.000
8.940;0.000
9.060;0.000
9.180;0.000
9.300;0.000
9.420;0.000
9.540;0.000
9.660;0.000
9.780;0.000
9.900;0.000
10.020;0.000
10.140;0.000
10.260;0.000
10.380;0.000
10.500;0.000
10.620;0.000
10.740;0.000
10.860;0.000
10.980;0.000
11.100;0.000
11.220;0.000
11.340;0.000
11.460;0.000
11.580;0.000
11.700;0.000
11.820;0.000
11.940;0.000
12.060;0.000
12.180;0.000
12.300;0.000
12.420;0.000
12.540;0.000
12.660;0.000
12.780;0.000
12.900;0.000
13.020;0.000
13.140;0.000
13.260;0.000
13.380;0.000
13.500;0.000
13.620;0.000
13.740;0.000
13.860;0.000
13.980;0.000
14.100;0.000
14.220;0.000
14.340;0.000
14.460;0.000
14.580;0.000
14.700;0.000
14.820;0.000
14.940;0.000
15.060;0.000
15.180;0.000
15.300;0.000
15.420;0.000
15.540;17.863
15.660;100.286
15.780;185.159
15.900;271.744
16.020;311.853
16.140;317.561
16.260;322.273
16.380;684.984
16.500;709.538
16.620;728.183
16.740;743.881
16.860;757.512
16.980;769.845
17.100;781.250
17.220;791.752
17.340;801.740
17.460;810.978
17.580;819.844
17.700;828.296
17.820;836.246
17.940;844.011
18.060;851.364
18.180;858.439
18.300;865.365
18.420;871.941
18.540;878.321
18.660;884.552
18.780;890.593
18.900;896.339
19.020;902.469
19.140;909.265
19.260;916.224
19.380;1261.480
19.500;1268.881
19.620;1276.419
19.740;1283.979
19.860;1291.657
19.980;1299.481
20.100;1307.303
20.220;1315.123
20.340;1323.067
20.460;1331.049
20.580;1339.075
20.700;1347.080
20.820;1355.115
20.940;1363.234
21.060;1371.598
21.180;1380.495
21.300;1389.763
21.420;1399.357
21.540;1409.191
21.660;1419.205
21.780;1429.322
21.900;1439.606
22.020;1450.020
22.140;1460.595
22.260;1471.286
22.380;1481.965
22.500;1492.751
22.620;1503.656
22.740;1516.221
22.860;1540.581
22.980;1564.934
23.100;1589.359
23.220;1613.855
23.340;1639.148
23.460;1684.586
23.580;1737.232
23.700;1790.447
23.820;1844.201
23.940;1898.469
24.060;1953.219
24.180;2008.407
24.300;2063.954
24.420;2119.913
24.540;2176.264
24.660;2232.454
24.780;2286.000
24.900;2318.682
25.020;2350.917
25.140;2382.816
25.260;2414.433
25.380;2445.816
25.500;2476.981
25.620;2507.913
25.740;2538.620
25.860;2569.142
25.980;2598.446
26.100;2624.047
26.220;2647.510
26.340;2669.179
26.460;2688.182
26.580;2705.228
26.700;2722.335
26.820;2739.622
26.940;2755.258
27.060;2769.867
27.180;2783.509
27.300;2796.327
27.420;2808.334
27.540;2819.522
27.660;2830.133
27.780;2840.213
27.900;2849.781
28.020;2870.503
28.140;2894.111
28.260;2917.714
28.380;2941.256
28.500;2964.738
28.620;2988.137
28.740;3011.413
28.860;3034.609
28.980;3057.738
29.100;3080.801
29.220;3110.267
29.340;3154.331
29.460;3197.790
29.580;3240.789
29.700;3283.400
29.820;3325.633
29.940;3370.515
30.060;3422.749
30.180;3477.023
30.300;3532.704
30.420;3588.953
30.540;3646.089
30.660;3703.502
30.780;3754.580
30.900;3798.240
31.020;3842.070
31.140;3887.492
31.260;3920.280
31.380;3953.643
31.500;3987.649
31.620;4022.274
31.740;4057.521
31.860;4093.210
31.980;4128.740
32.100;4164.347
32.220;4200.002
32.340;4236.088
32.460;4272.872
32.580;4310.762
32.700;4349.847
32.820;4389.895
32.940;4431.121
33.060;4473.667
33.180;4516.178
33.300;4560.358
33.420;4606.432
33.540;4653.796
33.660;4701.491
33.780;4747.558
33.900;4791.381
34.020;4813.797
34.140;4834.064
34.260;4852.962
34.380;4870.786
34.500;4887.737
34.620;4903.948
34.740;4919.393
34.860;4934.192
34.980;4949.132
35.100;4965.105
35.220;4981.696
35.340;4998.723
35.460;5016.093
35.580;5033.774
35.700;5052.856
35.820;5073.105
35.940;5108.118
36.060;5148.016
36.180;5188.930
36.300;5226.428
36.420;5261.818
36.540;5301.421
36.660;5339.812
36.780;5375.466
36.900;5409.457
37.020;5442.953
37.140;5476.139
37.260;5509.325
37.380;5542.660
37.500;5578.785
37.620;5618.067
37.740;5659.692
37.860;5703.077
37.980;5749.362
38.100;5811.113
38.220;5897.534
38.340;5974.484
38.460;6038.792
38.580;6093.491
38.700;6134.444
38.820;6168.732
38.940;6207.604
39.060;6248.500
39.180;6305.848
39.300;6377.283
39.420;6438.655
39.540;6486.591
39.660;6536.699
39.780;6599.028
39.900;6665.442
40.020;6777.769
40.140;6873.039
40.260;6971.907
40.380;7762.708
40.500;7887.990
40.620;7992.746
40.740;8085.541
40.860;8176.821
40.980;8262.104
41.100;8337.491
41.220;8409.021
41.340;8494.056
41.460;8584.554
41.580;8674.084
41.700;8759.750
41.820;8843.041
41.940;8929.374
42.060;9018.314
42.180;9111.378
42.300;9203.401
42.420;9299.363
42.540;9403.857
42.660;9505.875
42.780;9602.032
42.900;9689.914
43.020;9767.162
43.140;9842.971
43.260;9926.818
43.380;10123.393
43.500;10208.237
43.620;10294.573
43.740;10381.275
43.860;10470.672
43.980;10597.681
44.100;10726.574
44.220;10845.650
44.340;10959.116
44.460;11068.281
44.580;11184.673
44.700;11294.822
44.820;11402.096
44.940;11500.463
45.060;11595.325
45.180;11688.122
45.300;11440.809
45.420;11527.872
45.540;11614.895
45.660;11702.795
45.780;11794.215
45.900;11863.861
46.020;11931.499
46.140;12014.388
46.260;12083.604
46.380;12165.810
46.500;12259.054
46.620;12354.570
46.740;12441.950
46.860;12517.724
46.980;12596.006
47.100;12678.137
47.220;12758.445
47.340;12845.081
47.460;12942.231
47.580;13051.737
47.700;13152.234
47.820;13249.277
47.940;13346.376
48.060;13417.080
48.180;13500.295
48.300;13570.488
48.420;14212.508
48.540;14282.087
48.660;14351.567
48.780;14417.564
48.900;14484.386
49.020;14549.767
49.140;14610.092
49.260;14663.810
49.380;14705.435
49.500;14738.982
49.620;14773.094
49.740;14809.854
49.860;14847.029
49.980;14871.101
50.100;14891.851
50.220;14914.497
50.340;15464.766
50.460;15531.686
50.580;15597.000
50.700;15661.889
50.820;15726.283
50.940;15787.705
51.060;15833.331
51.180;15870.792
51.300;15905.375
51.420;15937.103
51.540;15961.420
51.660;15976.369
51.780;15990.187
51.900;16003.912
52.020;16009.415
52.140;16007.387
52.260;15954.929
52.380;15933.553
52.500;15941.842
52.620;15955.794
52.740;15978.454
52.860;16001.619
52.980;16014.628
53.100;16027.634
53.220;16041.167
53.340;16055.424
53.460;16141.103
53.580;16250.606
53.700;16357.653
53.820;16459.409
53.940;16560.342
54.060;16631.019
54.180;16682.638
54.300;16735.108
54.420;16784.743
54.540;16832.885
54.660;16889.899
54.780;16959.247
54.900;17023.719
55.020;17104.195
55.140;17185.567
55.260;17245.719
55.380;17273.806
55.500;17296.204
55.620;17322.463
55.740;17438.425
55.860;17469.032
55.980;17505.218
56.100;17523.638
56.220;17507.801
56.340;17499.957
56.460;20458.755
56.580;20467.928
56.700;20468.914
56.820;20473.871
56.940;20478.987
57.060;20467.564
57.180;20447.669
57.300;20426.129
57.420;20412.034
57.540;20403.430
57.660;20406.481
57.780;20404.106
57.900;20420.681
58.020;20402.290
58.140;20368.029
58.260;20363.412
58.380;20291.418
58.500;20180.862
58.620;20070.891
58.740;19969.226
58.860;19849.858
58.980;19732.107
59.100;19615.338
59.220;19507.337
59.340;19387.700
59.460;19209.534
59.580;19000.861
59.700;18776.309
59.820;18546.338
59.940;18293.173
60.060;18076.570
60.180;17905.787
60.300;17706.068
60.420;17500.367
60.540;17300.624
60.660;17108.737
60.780;16960.259
60.900;16690.881
61.020;16553.002
61.140;16394.736
61.260;16218.109
61.380;10656.400
61.500;10477.449
61.620;10300.329
61.740;10124.861
61.860;9955.689
61.980;9791.307
62.100;9629.828
62.220;9483.654
62.340;9321.801
62.460;9140.480
62.580;8960.710
62.700;8783.464
62.820;8607.821
62.940;8432.791
63.060;8258.995
63.180;8087.123
63.300;7888.586
63.420;7718.964
63.540;7550.016
63.660;7381.313
63.780;7211.290
63.900;7033.556
64.020;6854.834
64.140;6714.647
64.260;6574.808
64.380;6455.962
64.500;6381.466
64.620;6305.607
64.740;6229.119
64.860;6152.291
64.980;6075.123
65.100;5998.329
65.220;5921.407
65.340;5844.338
65.460;5767.175
65.580;5689.911
65.700;5612.400
65.820;5534.418
65.940;5455.850
66.060;5375.079
66.180;5285.210
66.300;5215.410
66.420;5146.572
66.540;5078.716
66.660;5011.975
66.780;4946.708
66.900;4882.912
67.020;4821.062
67.140;4761.689
67.260;4713.620
67.380;4684.196
67.500;4654.287
67.620;4623.773
67.740;5398.690
67.860;5366.317
67.980;5331.821
68.100;5291.732
68.220;5247.486
68.340;5251.743
68.460;5228.351
68.580;5206.593
68.700;5186.092
68.820;5170.736
68.940;5157.956
69.060;5145.459
69.180;5134.018
69.300;5126.512
69.420;5121.138
69.540;5116.832
69.660;5112.970
69.780;5109.527
69.900;5107.092
70.020;5105.810
70.140;5105.568
70.260;5106.521
70.380;5105.235
70.500;5101.817
70.620;5089.339
70.740;5077.224
70.860;5065.256
70.980;5053.688
71.100;5042.476
71.220;5031.651
71.340;5021.486
71.460;5011.897
71.580;5003.137
71.700;4995.591
71.820;4989.523
71.940;4986.307
72.060;4989.126
72.180;5011.656
72.300;4996.449
72.420;4977.124
72.540;4958.030
72.660;4939.217
72.780;4919.870
72.900;4900.597
73.020;4881.430
73.140;4862.231
73.260;4842.946
73.380;4823.640
73.500;4804.461
73.620;4785.231
73.740;4766.251
73.860;4747.201
73.980;4728.435
74.100;4709.579
74.220;4691.120
74.340;4672.646
74.460;4654.606
74.580;4636.746
74.700;4619.294
74.820;4602.258
74.940;4585.780
75.060;4574.990
75.180;4570.645
75.300;4566.130
75.420;4561.604
75.540;4557.177
75.660;4552.933
75.780;4521.240
75.900;4518.406
76.020;4519.220
76.140;4536.667
76.260;4529.757
76.380;4504.793
76.500;4477.997
76.620;4450.059
76.740;4422.518
76.860;4394.926
76.980;4366.944
77.100;4338.595
77.220;4309.930
77.340;4280.971
77.460;4251.690
77.580;4222.084
77.700;4192.077
77.820;4869.595
77.940;4838.984
78.060;4297.491
78.180;4269.249
78.300;4239.527
78.420;4209.853
78.540;4180.457
78.660;4153.101
78.780;4128.304
78.900;4104.256
79.020;4080.891
79.140;4058.318
79.260;4036.573
79.380;4015.673
79.500;3995.654
79.620;3976.469
79.740;3958.220
79.860;3940.957
79.980;3924.387
80.100;3908.374
80.220;3892.936
80.340;3692.435
80.460;3657.474
80.580;3628.575
80.700;3602.690
80.820;2229.558
80.940;2203.723
81.060;2176.121
81.180;2150.149
81.300;2124.970
81.420;2100.783
81.540;2077.722
81.660;2055.396
81.780;2034.164
81.900;2008.020
82.020;1970.000
82.140;1931.972
82.260;1895.255
82.380;1859.854
82.500;3122.932
82.620;3091.470
82.740;3059.976
82.860;3028.936
82.980;2997.986
83.100;2982.731
83.220;2970.059
83.340;2957.502
83.460;2945.278
83.580;1826.843
83.700;1791.803
83.820;1799.368
83.940;1803.693
84.060;1804.227
84.180;1806.410
84.300;1810.070
84.420;1809.285
84.540;1761.937
84.660;1715.632
84.780;1671.214
84.900;1649.467
85.020;1655.141
85.140;1659.131
85.260;1660.849
85.380;1657.678
85.500;1075.049
85.620;1088.874
85.740;1102.602
85.860;1116.220
85.980;1129.908
86.100;1143.514
86.220;1157.043
86.340;1170.735
86.460;1184.322
86.580;1197.866
86.700;1211.640
86.820;1225.255
86.940;1238.895
87.060;1252.666
87.180;1266.427
87.300;1280.181
87.420;1295.071
87.540;1310.544
87.660;1325.918
87.780;1341.436
87.900;1357.082
88.020;1372.721
88.140;1388.410
88.260;1665.587
88.380;1745.368
88.500;1797.653
88.620;1842.076
88.740;1881.957
88.860;1919.011
88.980;1954.061
89.100;2371.283
89.220;2572.818
89.340;2734.077
89.460;2870.210
89.580;2992.752
89.700;3105.483
89.820;3208.867
89.940;3306.418
90.060;3398.848
90.180;3487.786
90.300;3570.937
90.420;3656.094
90.540;3736.732
90.660;3811.360
90.780;3858.423
90.900;3930.775
91.020;4001.607
91.140;4068.328
91.260;4133.727
91.380;4196.729
91.500;4256.399
91.620;4308.822
91.740;4342.729
91.860;4414.230
91.980;4488.011
92.100;4562.871
92.220;4644.705
92.340;4723.465
92.460;4812.946
92.580;4907.089
92.700;5002.695
92.820;5100.813
92.940;5206.768
93.060;5310.659
93.180;5414.932
93.300;5296.737
93.420;5237.152
93.540;5226.970
93.660;5244.283
93.780;5276.117
93.900;5319.513
94.020;5373.696
94.140;5439.297
94.260;5503.802
94.380;5571.838
94.500;5636.482
94.620;5698.896
94.740;7568.164
94.860;7629.766
94.980;7697.508
95.100;7766.787
95.220;7851.354
95.340;8148.973
95.460;8206.675
95.580;8271.659
95.700;8342.507
95.820;8431.282
95.940;8495.492
96.060;8558.497
96.180;8618.143
96.300;8668.413
96.420;8714.736
96.540;8759.947
96.660;8806.564
96.780;8980.313
96.900;9149.849
97.020;9261.901
97.140;9365.577
97.260;9363.140
97.380;9297.213
97.500;9289.466
97.620;9291.999
97.740;8350.136
97.860;8348.740
97.980;8348.992
98.100;8350.490
98.220;6950.830
98.340;6898.378
98.460;6867.005
98.580;6842.509
98.700;6825.908
98.820;6807.993
98.940;6793.430
99.060;6782.498
99.180;6769.319
99.300;6765.104
99.420;6765.392
99.540;6773.789
99.660;6791.104
99.780;6808.977
99.900;6835.097
100.020;6855.833
100.140;6877.310
100.260;6897.533
100.380;6916.779
100.500;6936.409
100.620;6949.278
100.740;6972.446
100.860;6934.684
100.980;6898.194
101.100;6859.274
101.220;6825.798
101.340;6793.621
101.460;6762.609
101.580;6732.873
101.700;6698.278
101.820;6671.653
101.940;6648.869
102.060;6626.229
102.180;6604.433
102.300;6583.592
102.420;6568.587
102.540;6549.694
102.660;6532.830
102.780;6518.786
102.900;6507.811
103.020;6501.049
103.140;6502.035
103.260;7929.042
103.380;7909.302
103.500;7889.206
103.620;7871.961
103.740;7857.264
103.860;7847.183
103.980;7844.154
104.100;7856.044
104.220;7924.963
104.340;7932.260
104.460;7838.557
104.580;7727.162
104.700;7569.678
104.820;7409.701
104.940;7382.508
105.060;7344.478
105.180;7301.966
105.300;7254.916
105.420;7206.117
105.540;7154.370
105.660;7119.772
105.780;7041.119
105.900;6986.245
106.020;6939.230
106.140;6896.457
106.260;6824.713
106.380;6741.720
106.500;6680.682
106.620;6629.855
106.740;6582.914
106.860;6536.266
106.980;6493.979
107.100;6453.978
107.220;6418.939
107.340;6393.497
107.460;6362.630
107.580;6342.325
107.700;6330.902
107.820;5252.847
107.940;5261.524
108.060;5294.719
108.180;5374.162
108.300;5516.627
108.420;5425.599
108.540;5341.388
108.660;5254.088
108.780;5169.297
108.900;5083.970
109.020;5001.430
109.140;4910.365
109.260;4820.563
109.380;4714.683
109.500;4609.834
109.620;4505.938
109.740;4394.525
109.860;4333.498
109.980;4255.269
110.100;4176.835
110.220;4103.479
110.340;4037.741
110.460;3970.927
110.580;3900.982
110.700;3829.730
110.820;3785.672
110.940;3715.375
111.060;3640.271
111.180;3559.663
111.300;3476.627
111.420;3387.802
111.540;3295.475
111.660;3198.046
111.780;3094.766
111.900;2982.123
112.020;2859.674
112.140;2723.632
112.260;2562.461
112.380;2361.033
112.500;1943.916
112.620;1908.959
112.740;1871.988
112.860;1832.176
112.980;1787.833
113.100;1735.632
113.220;1655.945
113.340;1378.863
113.460;1363.253
113.580;1347.688
113.700;1332.114
113.820;1316.681
113.940;1301.395
114.060;1285.820
114.180;1272.083
114.300;1258.374
114.420;1244.662
114.540;1230.948
114.660;1217.377
114.780;1203.832
114.900;1190.106
115.020;1176.612
115.140;1163.068
115.260;1149.438
115.380;1135.979
115.500;1122.434
115.620;1108.797
115.740;1095.226
115.860;1081.564
115.980;1067.795
116.100;1233.296
116.220;1229.835
116.340;1223.373
116.460;1215.424
116.580;1206.496
116.700;1196.669
116.820;1192.471
116.940;1193.556
117.060;1193.818
117.180;1193.068
117.300;1202.144
117.420;1227.629
117.540;2272.940
117.660;2293.251
117.780;2301.551
117.900;2342.287
118.020;2383.868
118.140;2425.967
118.260;2468.944
118.380;2507.560
118.500;1416.387
118.620;1418.101
118.740;1419.357
118.860;1420.656
118.980;1421.689
119.100;1389.356
119.220;1390.541
119.340;1391.708
119.460;1393.145
119.580;1394.558
119.700;1396.480
119.820;1398.359
119.940;1400.797
120.060;1403.400
120.180;1406.590
120.300;1410.273
120.420;1414.355
120.540;1421.478
120.660;1432.592
120.780;2796.218
120.900;2813.407
121.020;2834.779
121.140;2863.351
121.260;3055.285
121.380;3062.612
121.500;3070.447
121.620;3078.771
121.740;3087.511
121.860;3096.639
121.980;3104.645
122.100;3114.179
122.220;3130.155
122.340;3145.479
122.460;3161.098
122.580;3183.402
122.700;3207.561
122.820;3232.606
122.940;3258.236
123.060;3284.302
123.180;3310.681
123.300;3337.279
123.420;3364.028
123.540;3390.881
123.660;3417.526
123.780;2735.827
123.900;2761.636
124.020;2786.438
124.140;2812.056
124.260;2842.475
124.380;2882.936
124.500;2923.124
124.620;2963.146
124.740;3002.821
124.860;3041.151
124.980;3070.155
125.100;3099.316
125.220;3131.887
125.340;3165.436
125.460;3200.290
125.580;3235.915
125.700;3272.077
125.820;3336.587
125.940;3373.563
126.060;3410.840
126.180;3448.206
126.300;3485.401
126.420;3522.535
126.540;3563.049
126.660;3603.533
126.780;3643.721
126.900;3683.676
127.020;3723.450
127.140;3763.050
127.260;3802.459
127.380;3841.409
127.500;3879.721
127.620;3917.171
127.740;3954.017
127.860;3990.314
127.980;4028.565
128.100;4070.361
128.220;4112.445
128.340;4154.760
128.460;4197.225
128.580;4235.108
128.700;4261.550
128.820;4287.126
128.940;4311.683
129.060;4335.269
129.180;4358.251
129.300;4379.954
129.420;4399.842
129.540;4418.479
129.660;4436.209
129.780;4453.288
129.900;4469.827
130.020;4485.900
130.140;4514.537
130.260;4545.921
130.380;4577.799
130.500;4607.021
130.620;4632.844
130.740;4660.518
130.860;4690.559
130.980;4722.382
131.100;4756.371
131.220;4792.690
131.340;4830.875
131.460;4870.673
131.580;4911.937
131.700;4954.579
131.820;4998.508
131.940;5043.689
132.060;5090.083
132.180;5137.585
132.300;5186.295
132.420;5239.040
132.540;5294.088
132.660;5360.004
132.780;5433.192
132.900;5508.518
133.020;5585.730
133.140;5664.750
133.260;5718.408
133.380;5802.974
133.500;5890.167
133.620;5974.371
133.740;5245.445
133.860;5324.760
133.980;5406.348
134.100;5489.950
134.220;5575.502
134.340;5662.618
134.460;5750.300
134.580;5837.424
134.700;5922.348
134.820;6005.751
134.940;6086.932
135.060;6165.680
135.180;6241.257
135.300;6315.666
135.420;6393.063
135.540;6466.860
135.660;6538.593
135.780;6609.158
135.900;6678.864
136.020;6747.476
136.140;6815.248
136.260;6882.181
136.380;6948.198
136.500;7002.648
136.620;7051.345
136.740;7098.860
136.860;7146.425
136.980;7194.514
137.100;7241.661
137.220;7356.848
137.340;7500.195
137.460;7647.947
137.580;7799.172
137.700;7952.675
137.820;8107.696
137.940;8267.207
138.060;8427.058
138.180;8597.393
138.300;8797.283
138.420;8969.873
138.540;9150.565
138.660;9337.768
138.780;9525.724
138.900;9712.359
139.020;9897.666
139.140;10082.542
139.260;10266.532
139.380;10447.307
139.500;10612.875
139.620;8390.073
139.740;10900.733
139.860;11051.333
139.980;11220.327
140.100;16813.519
140.220;17028.138
140.340;17240.539
140.460;17431.952
140.580;17609.784
140.700;17904.044
140.820;18075.641
140.940;18246.600
141.060;18415.648
141.180;18583.671
141.300;18751.771
141.420;18918.516
141.540;19084.100
141.660;19247.920
141.780;19409.776
141.900;19561.908
142.020;19711.118
142.140;19835.186
142.260;19888.840
142.380;19932.652
142.500;19965.128
142.620;19998.007
142.740;20035.855
142.860;20092.813
142.980;20149.899
143.100;20200.082
143.220;20184.396
143.340;20166.954
143.460;20135.794
143.580;20098.327
143.700;20065.635
143.820;20037.019
143.940;20002.579
144.060;19968.749
144.180;19937.921
144.300;19902.119
144.420;19855.777
144.540;19800.216
144.660;19747.905
144.780;19702.751
144.900;19654.611
145.020;19443.909
145.140;16451.729
145.260;16405.511
145.380;16360.430
145.500;16320.899
145.620;16264.108
145.740;16143.318
145.860;16110.288
145.980;16074.775
146.100;16032.182
146.220;15974.362
146.340;15916.178
146.460;15858.660
146.580;15794.258
146.700;15734.534
146.820;15680.424
146.940;15634.675
147.060;15587.693
147.180;15535.546
147.300;15477.942
147.420;15412.862
147.540;15342.763
147.660;15267.925
147.780;15174.800
147.900;15080.542
148.020;14978.836
148.140;14892.352
148.260;14860.361
148.380;14828.819
148.500;14802.967
148.620;14771.833
148.740;14745.157
148.860;14717.416
148.980;14687.289
149.100;14655.565
149.220;14625.255
149.340;14597.225
149.460;14559.381
149.580;14520.347
149.700;14474.982
149.820;14435.243
149.940;14390.625
150.060;14602.177
150.180;14557.794
150.300;14512.066
150.420;14465.013
150.540;14416.574
150.660;14367.781
150.780;14319.525
150.900;14271.037
151.020;14211.084
151.140;14144.321
151.260;14073.847
151.380;14009.386
151.500;13948.232
151.620;13889.154
151.740;13825.882
151.860;13763.555
151.980;13676.683
152.100;13590.587
152.220;13506.528
152.340;13426.859
152.460;13354.669
152.580;13284.586
152.700;13210.836
152.820;13132.834
152.940;13054.398
153.060;12987.608
153.180;12345.701
153.300;12278.481
153.420;12225.671
153.540;12175.663
153.660;12130.044
153.780;12071.467
153.900;11064.527
154.020;11012.568
154.140;10971.111
154.260;10933.390
154.380;10899.964
154.500;10859.968
154.620;10818.885
154.740;10777.190
154.860;11655.746
154.980;11623.295
155.100;11589.738
155.220;11553.965
155.340;11523.080
155.460;11576.844
155.580;11548.891
155.700;11532.072
155.820;11508.259
155.940;11461.446
156.060;11416.286
156.180;11366.202
156.300;11319.346
156.420;11278.531
156.540;11241.760
156.660;11210.046
156.780;11173.999
156.900;11136.540
157.020;11091.373
157.140;11040.098
157.260;10992.830
157.380;10955.492
157.500;10920.613
157.620;10895.983
157.740;10853.271
157.860;10807.015
157.980;10791.502
158.100;10646.202
158.220;10611.344
158.340;10579.815
158.460;10535.395
158.580;10481.967
158.700;10413.442
158.820;10319.026
158.940;10223.771
159.060;10137.752
159.180;10057.492
159.300;9981.938
159.420;9906.902
159.540;9830.165
159.660;9742.906
159.780;9667.092
159.900;9594.351
160.020;9519.976
160.140;9459.159
160.260;9399.965
160.380;9333.080
160.500;9257.833
160.620;9176.338
160.740;9092.910
160.860;9005.913
160.980;8916.758
161.100;8145.219
161.220;8077.004
161.340;8008.769
161.460;7938.633
161.580;7875.154
161.700;7821.215
161.820;7773.964
161.940;7737.943
162.060;7701.463
162.180;7664.822
162.300;7629.336
162.420;7594.821
162.540;7558.744
162.660;7517.677
162.780;7473.027
162.900;7426.531
163.020;7354.051
163.140;7310.703
163.260;7271.021
163.380;7235.443
163.500;7203.973
163.620;7170.701
163.740;7136.299
163.860;7117.624
163.980;7094.679
164.100;7070.812
164.220;7046.471
164.340;7020.939
164.460;6994.623
164.580;6967.804
164.700;6940.153
164.820;6912.112
164.940;6883.176
165.060;6853.261
165.180;6821.642
165.300;6786.134
165.420;6748.100
165.540;6705.656
165.660;6662.357
165.780;6617.357
165.900;6567.194
166.020;6526.387
166.140;6485.299
166.260;6443.844
166.380;6401.940
166.500;6359.452
166.620;6316.127
166.740;6272.815
166.860;6229.661
166.980;6186.824
167.100;6143.963
167.220;6100.418
167.340;6057.123
167.460;6819.539
